Time(nanoseconds=1760079910869432721, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.037816107
Time(nanoseconds=1760079911069997043, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.036421582
Time(nanoseconds=1760079911270040662, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.035776038
Time(nanoseconds=1760079911470331777, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.0348212
Time(nanoseconds=1760079911670640532, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.034182552
Time(nanoseconds=1760079911870794854, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03322278
Time(nanoseconds=1760079912071433707, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032464664
Time(nanoseconds=1760079912270847611, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032255072
Time(nanoseconds=1760079912470638164, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.031134222
Time(nanoseconds=1760079912670612491, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.02991742
Time(nanoseconds=1760079912870445345, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.029365478
Time(nanoseconds=1760079913070533075, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.027997555
Time(nanoseconds=1760079913269460027, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.027403776
Time(nanoseconds=1760079913470392288, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.027277192
Time(nanoseconds=1760079913670547399, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.026548423
Time(nanoseconds=1760079913871108201, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.026596144
Time(nanoseconds=1760079914070763841, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.025997847
Time(nanoseconds=1760079914269717833, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.02524247
Time(nanoseconds=1760079914470719076, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.024372362
Time(nanoseconds=1760079914669788981, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.026115354
Time(nanoseconds=1760079914869265506, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.025031582
Time(nanoseconds=1760079915070608307, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.025578426
Time(nanoseconds=1760079915270803250, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.030575046
Time(nanoseconds=1760079915470754807, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.033070877
Time(nanoseconds=1760079915670653993, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.0331553
Time(nanoseconds=1760079915870603140, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.034033995
Time(nanoseconds=1760079916070692580, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03337639
Time(nanoseconds=1760079916270680179, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.033746682
Time(nanoseconds=1760079916470780099, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.033687957
Time(nanoseconds=1760079916670000848, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032793794
Time(nanoseconds=1760079916871217826, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03230618
Time(nanoseconds=1760079917070970969, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032354355
Time(nanoseconds=1760079917270887565, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032377824
Time(nanoseconds=1760079917470821052, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.032792732
Time(nanoseconds=1760079917670586114, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03215953
Time(nanoseconds=1760079917870417199, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03253726
Time(nanoseconds=1760079918070764226, clock_type=ROS_TIME) Name: segmentation_entropy, Value: 0.03373985
